symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-04 14:15:00,2026-05-04 14:35:00,2494.5,2484.522,160.0,150.05,309,SL,-3074.5499999999965,117.37622266030002,-3191.9262226602964,5
ADANIENT,short,PE,2026-06-30,2440.0,2026-05-12 13:10:00,2026-05-12 14:00:00,2428.8,2409.3696,110.95,121.0,309,TGT,3105.449999999999,101.30734034170001,3004.1426596582987,11
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-13 13:35:00,2026-05-13 13:50:00,2519.3,2509.2228,163.65,153.6,309,SL,-3105.4500000000035,119.0179071535,-3224.4679071535033,4
ADANIENT,long,CE,2026-06-30,2680.0,2026-05-14 11:50:00,2026-05-14 11:50:00,2688.3,2677.5468,145.0,145.0,309,SL,0.0,113.69366673999998,-113.69366673999998,1
ADANIENT,long,CE,2026-06-30,2700.0,2026-05-14 14:35:00,2026-05-14 15:15:00,2701.4,2712.9,171.0,176.0,309,TIME,1545.0,127.22274908200002,1417.777250918,9
ADANIENT,short,PE,2026-06-30,2680.0,2026-05-18 10:45:00,2026-05-18 10:55:00,2671.4,2682.0856,137.45,140.15,309,SL,834.3000000000053,111.09869351559999,723.2013064844053,3
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-20 14:10:00,2026-05-20 14:25:00,2710.9,2700.0564,139.0,139.0,309,SL,0.0,110.94220466799999,-110.94220466799999,4
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-22 14:15:00,2026-05-22 14:30:00,2727.0,2716.092,140.5,136.75,309,SL,-1158.75,110.42551016350001,-1269.1755101635,4
ADANIENT,long,CE,2026-06-30,2800.0,2026-05-25 11:00:00,2026-05-25 11:00:00,2802.4,2791.1904,141.95,138.0,309,SL,-1220.5499999999965,111.02620362969999,-1331.5762036296965,1
ADANIENT,long,CE,2026-06-30,2820.0,2026-05-25 13:05:00,2026-05-25 13:10:00,2817.5,2840.04,140.65,156.2,309,TGT,4804.949999999994,116.69376563109998,4688.256234368894,2
ADANIENT,long,CE,2026-06-30,2920.0,2026-05-26 11:50:00,2026-05-26 14:20:00,2926.2,2949.6096,141.15,162.2,309,TGT,6504.449999999994,118.68974217009999,6385.760257829895,31
ADANIPORTS,short,PE,2026-06-30,1600.0,2026-04-30 14:05:00,2026-04-30 14:05:00,1616.6,1603.6671999999999,70.0,82.0,475,TGT,5700.0,102.4706048,5597.5293952,1
ADANIPORTS,long,CE,2026-06-30,1720.0,2026-05-04 11:10:00,2026-05-04 11:40:00,1734.6,1748.4768,90.25,104.0,475,TGT,6531.25,117.6095965125,6413.6404034875,7
ADANIPORTS,short,PE,2026-06-30,1700.0,2026-05-12 14:00:00,2026-05-12 14:15:00,1691.6,1698.3663999999999,71.0,72.0,475,SL,475.0,97.74397195000002,377.25602805,4
ADANIPORTS,long,CE,2026-06-30,1800.0,2026-05-25 10:55:00,2026-05-25 11:55:00,1804.2,1796.9832000000001,66.95,62.0,475,SL,-2351.2500000000014,91.95101316750001,-2443.2010131675015,13
ASIANPAINT,long,CE,2026-06-30,2660.0,2026-05-22 11:05:00,2026-05-22 11:15:00,2654.8,2653.8,94.4,93.2,250,OI_FLIP,-300.0000000000007,81.91214459999999,-381.91214460000066,3
ASIANPAINT,short,PE,2026-06-30,2680.0,2026-05-29 14:10:00,2026-05-29 14:10:00,2674.7,2685.3988,101.3,84.1,250,SL,-4300.000000000001,80.3140259,-4380.314025900001,1
ASIANPAINT,short,PE,2026-07-28,2680.0,2026-06-24 10:00:00,2026-06-24 10:00:00,2657.6,2668.2304,69.9,69.9,250,SL,0.0,73.1340883,-73.1340883,1
AXISBANK,long,CE,2026-06-30,1300.0,2026-05-06 14:25:00,2026-05-06 15:15:00,1290.0,1299.0,51.0,53.0,625,TIME,1250.0,95.80408499999999,1154.195915,11
AXISBANK,short,PE,2026-06-30,1250.0,2026-05-14 10:50:00,2026-05-14 11:15:00,1239.0,1243.956,43.0,44.5,625,SL,937.5,88.058890625,849.441109375,6
AXISBANK,short,PE,2026-06-30,1240.0,2026-05-19 13:55:00,2026-05-19 15:05:00,1237.5,1242.45,34.95,37.4,625,SL,1531.2499999999973,81.2093968125,1450.0406031874973,15
AXISBANK,long,CE,2026-06-30,1240.0,2026-05-20 10:35:00,2026-05-20 11:45:00,1239.8,1249.7184,46.1,51.0,625,TGT,3062.499999999999,93.143282125,2969.356717874999,15
AXISBANK,long,CE,2026-06-30,1280.0,2026-05-22 10:15:00,2026-05-22 12:50:00,1275.8,1286.0064,40.5,46.2,625,TGT,3562.500000000002,88.468811125,3474.031188875002,32
BAJAJ-AUTO,short,PE,2026-06-30,8600.0,2026-04-28 11:30:00,2026-04-28 12:55:00,9588.5,9511.792,73.0,73.0,75,TGT,0.0,55.32527230000001,-55.32527230000001,18
BAJAJ-AUTO,long,CE,2026-06-30,8600.0,2026-04-30 10:45:00,2026-04-30 10:45:00,9815.0,9775.74,1221.15,1221.15,75,SL,0.0,183.12022286500004,-183.12022286500004,1
BAJAJ-AUTO,long,CE,2026-06-30,10500.0,2026-05-18 11:25:00,2026-05-18 12:10:00,10257.5,10216.47,198.0,203.0,75,SL,375.0,69.62823505,305.37176495,10
BAJAJ-AUTO,short,PE,2026-06-30,10000.0,2026-06-12 09:55:00,2026-06-12 12:20:00,10002.0,10042.008,210.05,209.05,75,SL,-75.0,70.501671205,-145.50167120499998,30
BAJAJFINSV,short,PE,2026-06-30,1680.0,2026-04-30 14:30:00,2026-04-30 14:35:00,1728.9,1735.8156000000001,44.0,44.0,250,SL,0.0,63.524748,-63.524748,2
BAJAJFINSV,short,PE,2026-06-30,1700.0,2026-05-14 13:45:00,2026-05-14 13:50:00,1725.0,1731.9,45.0,45.0,250,SL,0.0,63.895765,-63.895765,2
